SOLUTION_SCORE_SATISFACTORY,TMR_IN_DAYS,SURVEY_STATUS,SOLVED_PROBLEM,PROCEDENT
1,6,CONCLUIDA           ,1,1
0,5,INICIADA            ,0,0
0,7,CONCLUIDA           ,0,0
0,8,INICIADA            ,0,0
0,5,INICIADA            ,0,0
0,4,INICIADA            ,0,0
0,11,CONCLUIDA           ,1,0
0,6,CONCLUIDA           ,0,0
1,7,INICIADA            ,1,0
0,11,INICIADA            ,1,0
1,11,CONCLUIDA           ,1,1
0,6,CONCLUIDA           ,0,1
1,2,INICIADA            ,1,1
0,6,INICIADA            ,0,0
0,7,INICIADA            ,0,0
1,10,CONCLUIDA           ,0,1
1,4,INICIADA            ,0,0
0,5,CONCLUIDA           ,0,0
0,7,INICIADA            ,1,0
0,2,CONCLUIDA           ,1,0
0,18,INICIADA            ,0,0
0,8,CONCLUIDA           ,1,0
0,3,INICIADA            ,0,1
0,4,CONCLUIDA           ,0,0
0,4,CONCLUIDA           ,1,0
0,9,CONCLUIDA           ,0,1
0,4,INICIADA            ,1,1
1,5,CONCLUIDA           ,1,1
0,5,CONCLUIDA           ,1,1
0,6,CONCLUIDA           ,0,0
0,8,INICIADA            ,0,0
0,8,CONCLUIDA           ,0,1
1,6,INICIADA            ,1,1
1,8,CONCLUIDA           ,1,1
1,5,CONCLUIDA           ,0,0
0,7,INICIADA            ,0,0
1,13,CONCLUIDA           ,0,0
1,1,CONCLUIDA           ,0,0
0,10,INICIADA            ,1,0
1,10,CONCLUIDA           ,0,0
0,6,CONCLUIDA           ,1,0
0,5,CONCLUIDA           ,0,1
0,6,CONCLUIDA           ,0,0
0,8,CONCLUIDA           ,1,0
0,8,CONCLUIDA           ,0,0
1,9,CONCLUIDA           ,0,1
1,7,CONCLUIDA           ,1,0
0,6,INICIADA            ,0,0
0,2,CONCLUIDA           ,1,0
0,6,CONCLUIDA           ,0,0
0,12,CONCLUIDA           ,0,1
0,10,CONCLUIDA           ,0,0
0,5,CONCLUIDA           ,0,0
0,6,INICIADA            ,1,0
1,5,INICIADA            ,0,0
0,7,INICIADA            ,0,0
1,4,CONCLUIDA           ,0,1
0,6,INICIADA            ,0,0
1,5,INICIADA            ,0,0
1,8,INICIADA            ,0,1
1,6,CONCLUIDA           ,1,0
0,7,CONCLUIDA           ,0,0
0,5,CONCLUIDA           ,1,0
